baseline-sim, discover-sim,
0.13,0.639545455,132
1,0.639545455,115
0.998137536,0.639545455,
0.99739255,0.639545455,
0.995914286,0.639545455,
0.995198864,0.639545455,
0.995568182,0.639545455,
0.9959375,0.639545455,
0.995185185,0.639545455,
0.994460227,0.639545455,
0.994814815,0.639545455,
0.994460227,0.639545455,
0.995555556,0.639545455,
0.995530086,0.639545455,
0.994444444,0.639545455,
0.994090909,0.639545455,
0.995542857,0.639545455,
0.996275072,0.639545455,
0.995925926,0.639545455,
0.993371105,0.639545455,
0.994460227,0.639545455,
0.995185185,0.639545455,
0.994460227,0.639545455,
0.994475921,0.639545455,
0.994090909,0.639545455,
0.994090909,0.639545455,
0.995171429,0.639545455,
0.994460227,0.639545455,
0.995185185,0.639545455,
0.993739377,0.639545455,
0.994444444,0.639545455,
0.991111111,0.639545455,
0.994444444,0.639545455,
0.994460227,0.639545455,
0.994460227,0.639545455,
0.994444444,0.639545455,
0.9948,0.639545455,
0.994074074,0.639545455,
0.994814815,0.639545455,
0.995542857,0.639545455,
0.994814815,0.639545455,
0.995914286,0.639545455,
0.994814815,0.639545455,
0.994074074,0.639545455,
0.994460227,0.639545455,
0.994829545,0.639545455,
0.994460227,0.639545455,
0.994107649,0.639545455,
0.994814815,0.639545455,
0.995542857,0.639545455,
0.995171429,0.639545455,
0.995171429,0.639545455,
0.993721591,0.639545455,
0.994460227,0.639545455,
0.995185185,0.639545455,
0.995914286,0.639545455,
0.995171429,0.639545455,
0.994444444,0.639545455,
0.994814815,0.639545455,
0.994814815,0.639545455,
0.995914286,0.639545455,
0.996296296,0.639545455,
0.995555556,0.639545455,
0.994814815,0.639545455,
0.995530086,0.639545455,
0.9948,0.639545455,
0.994428571,0.639545455,
0.994090909,0.639545455,
0.994090909,0.639545455,
0.986529,0.639545455,
0.986529,0.639545455,
0.995914286,0.639545455,
0.994460227,0.639545455,
0.994829545,0.639545455,
0.994444444,0.639545455,
0.994444444,0.639545455,
0.994460227,0.639545455,
0.993721591,0.639545455,
0.994829545,0.639545455,
0.995925926,0.639545455,
0.994090909,0.639545455,
0.993739377,0.639545455,
0.994814815,0.639545455,
0.995542857,0.639545455,
0.995542857,0.639545455,
0.996275072,0.639545455,
0.995542857,0.639545455,
0.9948,0.639545455,
0.995902579,0.639545455,
0.994090909,0.639545455,
0.994090909,0.639545455,
0.9948,0.639545455,
0.996275072,0.639545455,
0.994814815,0.639545455,
0.995171429,0.639545455,
0.994444444,0.639545455,
0.995185185,0.639545455,
0.994814815,0.639545455,
0.994444444,0.639545455,
0.995542857,0.639545455,
0.995542857,0.639545455,
0.993739377,0.639545455,
0.993371105,0.639545455,
0.994074074,0.639545455,
0.993721591,0.639545455,
0.994107649,0.639545455,
0.994107649,0.639545455,
0.994090909,0.639545455,
0.994444444,0.639545455,
0.994814815,0.639545455,
0.993703704,0.639545455,
0.992244318,0.639545455,
0.992982955,0.639545455,
0.993314286,0.639545455,
0.993314286,0.639545455,
0.992962963,0.639545455,
0.993314286,0.639545455,
0.993685714,0.639545455,
0.992962963,0.639545455,
0.993314286,0.639545455,
0.993314286,0.639545455,
0.992244318,0.639545455,
0.991505682,0.639545455,
0.992592593,0.639545455,
0.945474995,0.67,
0.945143363,0.67,
0.944865736,0.67,
0.944710849,0.67,
0.945372427,0.67,
0.944435471,0.67,
0.944435471,0.67,
0.943929621,0.67,
0.944480097,0.67,
0.945089928,0.67,
0.937613148,0.67,
0.941092096,0.67,
0.940152329,0.67,
0.939820696,0.67,
0.938728661,0.67,
0.938728661,0.67,
0.930842058,0.67,
0.930782145,0.67,
0.930935572,0.67,
0.931268052,0.67,
0.931503636,0.67,
0.931777043,0.67,
0.932384329,0.67,
0.931777043,0.67,
0.93171559,0.67,
0.930994943,0.67,
0.892787344,0.640869565,
0.795037008,0.566923077,
0.641059158,0.545925926,
0.615628263,0.526428571,
0.726194915,0.508275862,
0.70584769,0.491333333,
0.6696875,0.460625,
0.664805881,0.460625,
0.63335847,0.433529412,
0.62749636,0.433529412,
0.587426107,0.398378378,
0.570983585,0.387894737,
0.554418294,0.377948718,
0.554439625,0.377948718,
0.541481039,0.3685,
0.537243904,0.3685,
0.516977257,0.350952381,
0.513054056,0.350952381,
0.503998008,0.342790698,
0.504094304,0.342790698,
0.506565274,0.342790698,
0.500637782,0.342790698,
0.499520153,0.342790698,
0.499678371,0.342790698,
0.499137825,0.342790698,
0.497404649,0.342790698,
0.497385396,0.342790698,
0.488397549,0.335,
0.488792644,0.335,
0.488758581,0.335,
0.488771642,0.335,
0.488618129,0.335,
0.488647284,0.335,
0.488676584,0.335,
0.488619207,0.335,
0.487879538,0.335,
0.479353284,0.327555556,
0.479282937,0.327555556,
0.478654555,0.327555556,
0.478753247,0.327555556,
0.478765259,0.327555556,
0.47831454,0.327555556,
0.47831454,0.327555556,
0.470291038,0.320434783,
0.461891513,0.313617021,
0.461817118,0.313617021,
0.461659525,0.313617021,
0.461764295,0.313617021,
0.461719628,0.313617021,
0.461824832,0.313617021,
0.999371908,0.313617021,
0.997551267,0.313617021,
0.997222121,0.313617021,
0.995664191,0.313617021,
0.99533608,0.313617021,
0.995138412,0.313617021,
0.995267582,0.313617021,
0.994940743,0.313617021,
0.973727973,0.307083333,
0.973539111,0.307083333,
0.973169549,0.307083333,
0.973468284,0.307083333,
0.973098433,0.307083333,
0.952991446,0.300816327,
0.952810807,0.300816327,
0.952797798,0.300816327,
0.952389315,0.300816327,
0.952268889,0.300816327,
0.951096622,0.300816327,
0.951036353,0.300816327,
0.950855547,0.300816327,
0.950454591,0.300816327,
0.950387409,0.300816327,
0.950440646,0.300816327,
0.950266983,0.300816327,
0.95009348,0.300816327,
0.95002613,0.300816327,
0.950072051,0.300816327,
0.949803662,0.300816327,
0.949517113,0.300816327,
0.949509719,0.300816327,
0.949449478,0.300816327,
0.949301706,0.300816327,
0.949120983,0.300816327,
0.948947906,0.300816327,
0.948992877,0.300816327,
0.948699297,0.300816327,
0.947374865,0.300816327,
0.947133789,0.300816327,
0.947081452,0.300816327,
0.946926796,0.300816327,
0.946952935,0.300816327,
0.946806259,0.300816327,
0.946504914,0.300816327,
0.946452856,0.300816327,
0.946108144,0.300816327,
0.946039568,0.300816327,
0.927225004,0.2948,
0.927119875,0.2948,
0.927194592,0.2948,
0.925988522,0.2948,
0.925873069,0.2948,
0.925489729,0.2948,
0.925164692,0.2948,
0.925245377,0.2948,
0.925130078,0.2948,
0.925190857,0.2948,
0.925075455,0.2948,
0.924855301,0.2948,
0.924844652,0.2948,
0.924786951,0.2948,
0.92450925,0.2948,
0.924613848,0.2948,
0.924545361,0.2948,
0.92441906,0.2948,
0.924209943,0.2948,
0.924047848,0.2948,
0.923735221,0.2948,
0.923781713,0.2948,
0.923620024,0.2948,
0.923412169,0.2948,
0.923285758,0.2948,
0.923539999,0.2948,
0.923482349,0.2948,
0.923528667,0.2948,
0.923413163,0.2948,
0.923147216,0.2948,
0.92299704,0.2948,
0.92289324,0.2948,
0.923078088,0.2948,
0.922904909,0.2948,
0.922835642,0.2948,
0.922835642,0.2948,
0.922627909,0.2948,
0.922466505,0.2948,
0.92255855,0.2948,
0.92255855,0.2948,
0.922431377,0.2948,
0.922120453,0.2948,
0.922062778,0.2948,
0.922005103,0.2948,
0.922108601,0.2948,
0.922142617,0.2948,
0.921774402,0.2948,
0.921740758,0.2948,
0.921510262,0.2948,
0.921510262,0.2948,
0.921349568,0.2948,
0.921246589,0.2948,
0.92111961,0.2948,
